Activity,State,Category ,Park,Area Name
Camping,NC, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,MT, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Camping,MT, National Park, Glacier National Park, Glacier
Camping,MS, National Seashore, Gulf Islands National Seashore, Gulf Islands
Camping,MN, National Monument, Grand Portage National Monument, Grand Portage
Camping,ME, National Park, Acadia National Park, Acadia
Camping,ME, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,MD, National Battlefield, Antietam National Battlefield, Antietam
Camping,MD, National Seashore, Assateague Island National Seashore, Assateague Island
Camping,MD, Park, Catoctin Mountain Park, Catoctin Mountain
Camping,MD, National Park, Greenbelt Park, Greenbelt
Camping,MD, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,MD, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Camping,MA, National Historical Park, Blackstone River Valley National Historical Park, Blackstone River Valley
Camping,MA, National Recreation Area, Boston Harbor Islands National Recreation Area, Boston Harbor Islands
Camping,MA, National Seashore, Cape Cod National Seashore, Cape Cod
Camping,MA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,KY, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Camping,KY, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Camping,ID, National Reserve, City Of Rocks National Reserve, City Of Rocks
Camping,ID, National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon
Camping,HI, National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai
Camping,HI, National Park, Haleakalā National Park, Haleakalā
Camping,HI, National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes
Camping,GA, National Historic Site, Andersonville National Historic Site, Andersonville
Camping,GA, National Seashore, Cumberland Island National Seashore, Cumberland Island
Camping,GA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,FL, National Seashore, Gulf Islands National Seashore, Gulf Islands
Camping,FL, National Preserve, Big Cypress National Preserve, Big Cypress
Camping,FL, National Park, Biscayne National Park, Biscayne
Camping,FL, National Seashore, Canaveral National Seashore, Canaveral
Camping,FL, National Park, Dry Tortugas National Park, Dry Tortugas
Camping,FL, National Park, Everglades National Park, Everglades
Camping,DC, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Camping,CT, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,CO, National Park, Black Canyon Of The Gunnison National Park, Black Canyon Of The Gunnison
Camping,CO, National Monument, Colorado National Monument, Colorado
Camping,CO, National Recreation Area, Curecanti National Recreation Area, Curecanti
Camping,CO, National Monument, Dinosaur National Monument, Dinosaur
Camping,CO, National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes
Camping,CA, National Monument, Castle Mountains National Monument, Castle Mountains
Camping,CA, National Park, Channel Islands National Park, Channel Islands
Camping,CA, National Monument, Devils Postpile National Monument, Devils Postpile
Camping,CA, National Recreation Area, Golden Gate National Recreation Area, Golden Gate
Camping,AZ, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon National Recreation Area
Camping,AZ, National Monument, Canyon de Chelly National Monument, Canyon de Chelly
Camping,AZ, National Monument, Chiricahua National Monument, Chiricahua
Camping,AZ, National Park, Grand Canyon National Park, Grand Canyon
Camping,AR, National River, Buffalo National River, Buffalo
Camping,AK, Wild River, Alagnak Wild River, Alagnak
Camping,AK, National Monument & Preserve, Aniakchak National Monument & Preserve, Aniakchak
Camping,AK, National Preserve, Bering Land Bridge National Preserve, Bering Land Bridge
Camping,AK, National Monument, Cape Krusenstern National Monument, Cape Krusenstern
Camping,AK, National Park & Preserve, Denali National Park & Preserve, Denali
Camping,AK, National Park & Preserve, Gates Of The Arctic National Park & Preserve, Gates Of The Arctic
Camping,AK, National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay
